Order Number,Company,Original Line Item,Product Name,Style Number,Garment Color,Size,Quantity,Review Reason
#1508,,The North Face ®  Highest Peak Full-Zip Fleece Jacket NF0A8BUQ - TNF Black / L,The North Face ® Highest Peak Full-Zip Fleece Jacket,NF0A8BUQ,TNF Black,L,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1508,,Port Authority ®  Outdoor Wide-Brim Hat. C920 - Sterling Grey / L/XL,Port Authority ® Outdoor Wide-Brim Hat,C920,Sterling Grey,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1509,Water Quality- R/C,Richardson 5-Panel Classic Rope Cap 258 - Red/ White / OSFA,Richardson,5-PANEL,Classic Rope Cap 258 - Red/ White,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1509,,Richardson 5-Panel Classic Rope Cap 258 - Black/ White / OSFA,Richardson,5-PANEL,Classic Rope Cap 258 - Black/ White,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1509,,New Era® Series Performance Long Sleeve Crew Tee - NEA201 - TEMP - Solid Black / Medium,New Era® Series Performance Long Sleeve Crew Tee,NEA201,TEMP - Solid Black,Medium,3,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1509,,New Era® Series Performance Long Sleeve Crew Tee - NEA201 - TEMP - Graphite / Medium,New Era® Series Performance Long Sleeve Crew Tee,NEA201,TEMP - Graphite,Medium,3,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1509,,Tru-Spec Agility Pant - Khaki / 30 / 34,Tru-Spec Agility Pant - Khaki / 30,,,34,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1509,,Tru-Spec Agility Pant - Flat Dark Earth / 30 / 34,Tru-Spec Agility Pant - Flat Dark Earth / 30,,,34,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1509,,Tru-Spec Agility Pant - Black / 30 / 34,Tru-Spec Agility Pant - Black / 30,,,34,2,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1509,,3W060 - Wrangler® RIGGS Workwear® Ripstop Ranger Cargo Pant - Black / 30x34,,3W060,Wrangler® RIGGS Workwear® Ripstop Ranger Cargo Pant - Black,30x34,4,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1509,,Carhartt ®  Washed Duck Active Jac. CT104050 - Black / M,Carhartt ® Washed Duck Active Jac,CT104050,Black,M,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1509,,The North Face ®  Sleeve Logo Pullover Hoodie NF0A8AU0 - New Taupe Green Heather / M,The North Face ® Sleeve Logo Pullover Hoodie,NF0A8AU0,New Taupe Green Heather,M,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1510,,874 - 38x36 - Khaki,874,38X36,Khaki,,2,Decoration type not assigned in Product Master
#1510,,874 - 38x36 - Silver,874,38X36,Silver,,1,Decoration type not assigned in Product Master
#1510,,2574 - 2XL - Khaki,,2574,2XL - Khaki,,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1510,,2574 - 2XL - Silver,,2574,2XL - Silver,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1510,,LP22BK - Premium Industrial Multi-Use Pocket Pants - 38 / 36 / Black,,LP22BK,Premium Industrial Multi-Use Pocket Pants - 38 / 36,Black,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1510,,Men's Short Sleeve Pro Airflow Work Shirt  - SP4A - Khaki / 2XL,Men's Short Sleeve Pro Airflow Work Shirt,SP4A,Khaki,2XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1510,,PX62 - Khaki - 38x36,PX62 - Khaki,38X36,,,1,Garment color could not be determined; Missing garment color; Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1511,Water Quality- R/C,Richardson Trucker Cap 112 - Heather Grey/ Navy / OSFA,Richardson Trucker Cap,112,Heather Grey/ Navy,OSFA,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1511,,WRT20JH - Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 34 / 32,,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 34,32,7,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1511,,Men's Stretch Tech-Shell® Compass Quarter-Zip Pullover - DG440 - Dark Grey Heather / XL,Men's Stretch Tech-Shell® Compass Quarter-Zip Pullover,DG440,Dark Grey Heather,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1511,,The North Face ®  Skyline Full-Zip Fleece Jacket NF0A7V64 - Four Leaf Clover Heather / XL,The North Face ® Skyline Full-Zip Fleece Jacket,NF0A7V64,Four Leaf Clover Heather,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1512,Water Quality- R/C,Gildan ®  DryBlend ®  50 Cotton/50 Poly T-Shirt. 8000 - Sand / XL,Gildan ® DryBlend ® 50 Cotton/50 Poly T-Shirt,8000,Sand,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1512,,Gildan ®  - DryBlend ®  50 Cotton/50 Poly Long Sleeve T-Shirt. 8400 - Forest Green / XL,Gildan ®,DRYBLEND®50COTTON/50POLYLONGSLEEVET-SHIRT.8400,Forest Green,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1512,,Gildan ®  - DryBlend ®  50 Cotton/50 Poly Long Sleeve T-Shirt. 8400 - Maroon / XL,Gildan ®,DRYBLEND®50COTTON/50POLYLONGSLEEVET-SHIRT.8400,Maroon,XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
